Year;Month;Day;Date;CZ
2015;12;30;30/12/2015;0.232997159090909
2015;12;31;31/12/2015;0.2233125
2016;1;1;1/1/2016;0.235201082753287
2016;1;2;2/1/2016;0.235129543696829
2016;1;3;3/1/2016;0.235575212683681
2016;1;4;4/1/2016;0.217975638051044
2016;1;5;5/1/2016;0.214722544470224
2016;1;6;6/1/2016;0.214874323279196
2016;1;7;7/1/2016;0.215902938901779
2016;1;8;8/1/2016;0.219891724671307
2016;1;9;9/1/2016;0.187419760247487
2016;1;10;10/1/2016;0.227021461716937
2016;1;11;11/1/2016;0.219118329466357
2016;1;12;12/1/2016;0.241772041763341
2016;1;13;13/1/2016;0.240351894818252
2016;1;14;14/1/2016;0.230106341840681
2016;1;15;15/1/2016;0.236373743232792
2016;1;16;16/1/2016;0.245697989172467
2016;1;17;17/1/2016;0.236421113689095
2016;1;18;18/1/2016;0.238081979891725
2016;1;19;19/1/2016;0.226861948955917
2016;1;20;20/1/2016;0.228526682134571
2016;1;21;21/1/2016;0.229564965197216
2016;1;22;22/1/2016;0.2348124516628
2016;1;23;23/1/2016;0.20608275328693
2016;1;24;24/1/2016;0.242328886310905
2016;1;25;25/1/2016;0.230752126836814
2016;1;26;26/1/2016;0.253321732405259
2016;1;27;27/1/2016;0.265705723124517
2016;1;28;28/1/2016;0.252655645784996
2016;1;29;29/1/2016;0.263207656612529
2016;1;30;30/1/2016;0.238813805104408
2016;1;31;31/1/2016;0.280037703016241
2016;2;1;1/2/2016;0.266190061871616
2016;2;2;2/2/2016;0.263221191028616
2016;2;3;3/2/2016;0.265316125290023
2016;2;4;4/2/2016;0.255047370456303
2016;2;5;5/2/2016;0.254310711523589
2016;2;6;6/2/2016;0.253423240525909
2016;2;7;7/2/2016;0.283552784222738
2016;2;8;8/2/2016;0.27409222737819
2016;2;9;9/2/2016;0.258463843774169
2016;2;10;10/2/2016;0.256718870843001
2016;2;11;11/2/2016;0.255734725444702
2016;2;12;12/2/2016;0.252680781129157
2016;2;13;13/2/2016;0.23486562258314
2016;2;14;14/2/2016;0.271407579273009
2016;2;15;15/2/2016;0.250278422273782
2016;2;16;16/2/2016;0.253462877030162
2016;2;17;17/2/2016;0.253349767981438
2016;2;18;18/2/2016;0.24340777262181
2016;2;19;19/2/2016;0.248619489559165
2016;2;20;20/2/2016;0.246013147718484
2016;2;21;21/2/2016;0.27871713070379
2016;2;22;22/2/2016;0.259940061871616
2016;2;23;23/2/2016;0.247456496519722
2016;2;24;24/2/2016;0.251674400618716
2016;2;25;25/2/2016;0.242205143078113
2016;2;26;26/2/2016;0.245118909512761
2016;2;27;27/2/2016;0.227678847641145
2016;2;28;28/2/2016;0.277289249806651
2016;2;29;29/2/2016;0.266859048723898
2016;3;1;1/3/2016;0.290179814385151
